Date,Price,Open,High,Low,Vol.,Change %
04/06/2024,68889.3,67857.1,69658.0,67458.0,20.13K,1.58%
04/05/2024,67820.6,68487.4,68684.0,66007.9,37.92K,-0.97%
04/04/2024,68487.4,65942.9,69180.1,65091.8,41.50K,3.83%
04/03/2024,65963.3,65437.4,66812.0,64558.5,39.89K,0.82%
04/02/2024,65425.4,69671.8,69671.8,64630.1,71.81K,-6.08%
04/01/2024,69657.4,71281.3,71281.3,68188.0,41.45K,-2.39%
03/31/2024,71360.0,69578.6,71360.0,69578.6,19.37K,2.51%
03/30/2024,69615.0,69868.2,70315.8,69562.5,13.63K,-0.37%
03/29/2024,69874.7,70750.2,70905.8,69111.1,25.46K,-1.24%
03/28/2024,70752.4,69442.9,71538.0,68985.1,35.44K,1.90%
03/27/2024,69430.9,69999.7,71622.2,68445.5,49.12K,-0.82%
03/26/2024,70004.4,69929.1,71489.4,69317.4,38.93K,0.16%
03/25/2024,69890.0,67219.5,71094.2,66395.1,53.44K,3.96%
03/24/2024,67230.0,63971.1,67572.8,63806.0,31.39K,4.99%
03/23/2024,64036.5,63750.0,65964.9,63093.0,26.42K,0.41%
03/22/2024,63774.0,65496.0,66639.8,62327.4,51.47K,-2.64%
03/21/2024,65501.3,67864.0,68155.6,64621.6,53.36K,-3.46%
03/20/2024,67848.0,61868.0,68021.6,60844.5,90.42K,9.33%
03/19/2024,62057.7,67567.7,68097.0,61564.0,101.00K,-8.19%
03/18/2024,67596.0,68350.0,68931.0,66600.0,55.69K,-1.17%
03/17/2024,68393.5,65496.0,68866.0,64608.0,49.74K,4.70%
03/16/2024,65323.9,69500.0,70040.0,65008.3,55.93K,-5.98%
03/15/2024,69475.6,71428.5,72407.3,65835.3,103.33K,-2.68%
03/14/2024,71390.2,73061.1,73721.1,68662.8,71.75K,-2.29%
03/13/2024,73060.8,71476.0,73605.5,71346.6,52.66K,2.21%
03/12/2024,71478.6,72078.1,72905.7,68910.4,68.79K,-0.86%
03/11/2024,72101.1,68947.1,72743.0,67440.4,75.28K,4.57%
03/10/2024,68949.8,68340.8,69880.0,68131.2,38.41K,0.92%
03/09/2024,68321.0,68128.0,68537.9,67877.2,19.88K,0.28%
03/08/2024,68130.1,66798.0,69804.0,66146.0,74.26K,1.96%
03/07/2024,66823.2,66066.5,67956.0,65569.8,53.07K,1.16%
03/06/2024,66057.3,63781.1,67603.2,62823.2,78.76K,3.54%
03/05/2024,63798.0,68147.9,68990.0,60000.8,132.71K,-6.51%
03/04/2024,68238.0,63086.6,68492.0,62805.8,84.83K,8.10%
03/03/2024,63127.1,61933.6,63220.4,61385.5,28.99K,1.85%
03/02/2024,61983.3,62379.0,62430.2,61600.0,25.54K,-0.64%
03/01/2024,62382.3,61167.9,63100.0,60784.0,47.75K,2.01%
02/29/2024,61153.1,62438.2,63659.8,60520.6,78.40K,-2.08%
02/28/2024,62451.1,57040.0,63890.0,56698.0,118.76K,9.49%
02/27/2024,57037.3,54476.5,57542.4,54452.9,67.20K,4.69%
02/26/2024,54484.6,51728.8,54891.1,50925.9,51.25K,5.34%
02/25/2024,51723.0,51572.7,51950.9,51300.0,18.72K,0.30%
02/24/2024,51568.2,50735.9,51691.1,50592.0,16.58K,1.63%
02/23/2024,50742.6,51288.4,51542.7,50534.1,30.55K,-1.14%
02/22/2024,51326.8,51825.0,52021.5,50952.0,35.32K,-1.01%
02/21/2024,51849.4,52278.5,52366.8,50675.6,43.08K,-0.78%
02/20/2024,52258.8,51774.7,52932.7,50803.6,49.61K,0.92%
02/19/2024,51784.0,52138.9,52483.9,51694.0,29.53K,-0.64%
02/18/2024,52118.0,51652.9,52349.0,51195.8,21.99K,0.92%
02/17/2024,51642.6,52124.1,52162.8,50638.0,25.67K,-0.92%
02/16/2024,52124.1,51886.1,52544.4,51596.9,37.77K,0.46%
02/15/2024,51886.8,51795.2,52809.3,51318.1,53.83K,0.24%
02/14/2024,51763.3,49697.9,52000.0,49256.0,57.04K,4.14%
02/13/2024,49707.1,49910.6,50308.1,48395.6,55.61K,-0.46%
02/12/2024,49935.0,48300.0,50264.8,47732.0,58.95K,3.44%
02/11/2024,48274.1,47748.4,48528.9,47585.3,29.95K,1.09%
02/10/2024,47754.7,47156.2,48152.4,46854.1,24.81K,1.34%
02/09/2024,47122.1,45292.1,48101.9,45250.4,73.51K,4.05%
02/08/2024,45288.6,44383.0,45575.6,44333.3,45.43K,2.12%
02/07/2024,44347.5,43085.2,44348.4,42788.0,34.39K,2.92%
02/06/2024,43090.6,42708.7,43378.9,42577.6,24.67K,0.89%
02/05/2024,42708.7,42582.9,43539.2,42277.1,29.50K,0.30%
02/04/2024,42582.9,43004.0,43115.8,42375.7,17.06K,-0.99%
02/03/2024,43006.7,43204.6,43375.7,42883.3,12.03K,-0.45%
02/02/2024,43200.0,43086.1,43465.7,42599.9,29.68K,0.27%
02/01/2024,43082.9,42597.5,43260.9,41891.5,35.26K,1.16%
01/31/2024,42587.2,42928.3,43742.0,42322.4,39.87K,-0.84%
01/30/2024,42948.3,43290.0,43814.6,42710.0,37.64K,-0.82%
01/29/2024,43302.7,42036.0,43304.6,41826.0,31.54K,3.03%
01/28/2024,42031.1,42134.7,42819.3,41645.4,27.30K,-0.21%
01/27/2024,42120.6,41825.3,42192.2,41412.0,16.27K,0.74%
01/26/2024,41812.6,39940.8,42220.8,39831.8,47.38K,4.69%
01/25/2024,39938.3,40084.9,40290.1,39555.8,31.02K,-0.37%
01/24/2024,40084.9,39882.7,40542.9,39518.6,39.35K,0.48%
01/23/2024,39893.7,39574.0,40168.1,38558.9,57.93K,0.82%
01/22/2024,39569.2,41575.9,41684.3,39473.0,55.42K,-4.84%
01/21/2024,41580.3,41691.0,41877.1,41501.9,11.73K,-0.28%
01/20/2024,41696.0,41674.0,41861.1,41456.3,15.93K,0.09%
01/19/2024,41659.0,41291.1,42176.0,40316.2,48.35K,0.87%
01/18/2024,41299.0,42776.1,42924.5,40711.9,43.88K,-3.47%
01/17/2024,42783.9,43136.6,43195.5,42226.2,33.27K,-0.83%
01/16/2024,43142.2,42517.9,43564.3,42096.5,45.06K,1.46%
01/15/2024,42521.1,41756.1,43357.9,41721.1,40.28K,1.85%
01/14/2024,41747.4,42823.7,43077.0,41747.4,28.21K,-2.58%
01/13/2024,42852.0,42779.9,43253.1,42450.0,36.15K,0.02%
01/12/2024,42842.0,46305.2,46500.0,41905.8,86.29K,-7.55%
01/11/2024,46341.9,46639.4,48885.1,45650.0,87.47K,-0.59%
01/10/2024,46616.0,46083.8,47657.2,44423.6,89.90K,1.10%
01/09/2024,46110.0,46966.0,47885.5,45373.4,69.93K,-1.79%
01/08/2024,46951.0,43931.1,47187.2,43246.5,72.82K,6.90%
01/07/2024,43922.3,43968.3,44480.0,43625.9,23.02K,-0.09%
01/06/2024,43962.3,44158.9,44195.7,43401.8,17.83K,-0.41%
01/05/2024,44145.1,44152.4,44316.0,42500.0,48.10K,0.00%
01/04/2024,44143.9,42810.0,44729.2,42614.9,48.02K,3.07%
01/03/2024,42829.9,44977.4,45481.2,40800.0,81.19K,-4.69%
01/02/2024,44936.8,44150.0,45875.0,44150.0,65.16K,1.71%
01/01/2024,44179.6,42261.0,44184.0,42190.5,27.18K,4.52%
12/31/2023,42270.8,42140.3,42897.2,41966.0,23.57K,0.32%
12/30/2023,42137.0,42066.9,42603.0,41524.0,22.90K,0.16%
12/29/2023,42071.1,42568.1,43096.0,41417.0,42.60K,-1.18%
12/28/2023,42575.5,43418.0,43770.3,42306.7,35.17K,-1.98%
12/27/2023,43435.3,42529.0,43668.0,42108.6,36.18K,2.18%
12/26/2023,42509.8,43588.5,43592.7,41819.9,41.01K,-2.45%
12/25/2023,43576.1,42953.1,43787.7,42739.0,27.04K,1.40%
12/24/2023,42976.0,43704.9,43926.7,42739.3,25.14K,-1.66%
12/23/2023,43702.1,43983.0,43983.0,43318.1,16.56K,-0.58%
12/22/2023,43956.7,43861.8,44384.1,43416.7,32.77K,0.22%
12/21/2023,43861.8,43670.0,44238.0,43312.0,34.64K,0.46%
12/20/2023,43662.0,42276.0,44280.0,42221.9,48.71K,3.31%
12/19/2023,42261.1,42688.9,43497.0,41850.0,40.93K,-0.94%
12/18/2023,42661.1,41378.8,42732.3,40559.3,46.74K,3.11%
12/17/2023,41374.6,42262.3,42424.0,41282.6,27.71K,-2.14%
12/16/2023,42278.0,41950.0,42694.9,41717.5,24.15K,0.83%
12/15/2023,41929.2,43038.6,43078.2,41701.2,33.42K,-2.54%
12/14/2023,43022.3,42877.6,43393.6,41453.1,42.05K,0.33%
12/13/2023,42881.4,41502.2,43434.3,40640.0,45.86K,3.35%
12/12/2023,41492.4,41231.1,42074.0,40700.0,42.72K,0.56%
12/11/2023,41260.1,43776.3,43804.5,40305.4,76.66K,-5.78%
