Date,Price,Open,High,Low,Vol.,Change %
06/09/2021,2610.65,2507.15,2610.65,2461.43,99.98K,4.13%
06/08/2021,2507.15,2591.92,2591.92,2484.32,142.73K,-3.35%
06/07/2021,2593.95,2712.67,2775.62,2593.95,72.95K,-4.37%
06/06/2021,2712.42,2628.13,2712.42,2628.13,52.98K,3.18%
06/05/2021,2628.85,2688.37,2742.88,2622.22,86.78K,-2.17%
06/04/2021,2687.05,2857.02,2857.02,2638.18,109.86K,-5.94%
06/03/2021,2856.64,2705.24,2856.64,2704.66,71.74K,5.56%
06/02/2021,2706.19,2633.79,2706.19,2633.79,85.46K,2.77%
06/01/2021,2633.30,2706.16,2730.19,2568.20,213.03K,-2.69%
05/31/2021,2706.12,2385.90,2706.12,2357.89,236.45K,13.38%
05/30/2021,2386.68,2279.18,2429.09,2279.18,255.09K,4.76%
05/29/2021,2278.15,2411.65,2411.65,2278.15,382.42K,-5.53%
05/28/2021,2411.45,2739.73,2739.73,2350.81,347.63K,-12.01%
05/27/2021,2740.74,2884.17,2884.17,2740.74,248.93K,-4.97%
05/26/2021,2884.17,2704.67,2884.17,2704.67,319.42K,6.63%
05/25/2021,2704.90,2648.50,2704.90,2575.49,503.18K,2.13%
05/24/2021,2648.50,2097.31,2648.50,2097.31,566.34K,26.46%
05/23/2021,2094.28,2294.41,2319.10,2014.34,891.86K,-8.68%
05/22/2021,2293.37,2431.09,2468.35,2293.37,599.06K,-5.67%
05/21/2021,2431.17,2767.88,2857.54,2431.17,643.22K,-12.16%
05/20/2021,2767.66,2445.08,2767.66,2445.08,582.27K,13.63%
05/19/2021,2435.65,3376.01,3421.00,2435.65,730.14K,-27.86%
05/18/2021,3376.30,3282.72,3512.56,3282.72,198.00K,2.97%
05/17/2021,3278.92,3580.24,3580.24,3227.97,272.61K,-8.40%
05/16/2021,3579.78,3645.65,3831.95,3579.78,162.02K,-1.79%
05/15/2021,3645.15,4073.04,4073.04,3645.15,140.08K,-10.50%
05/14/2021,4072.79,3717.66,4111.94,3717.66,106.07K,9.55%
05/13/2021,3717.66,3816.58,3925.90,3717.66,225.05K,-2.72%
05/12/2021,3821.67,4173.86,4352.11,3821.67,130.89K,-8.44%
05/11/2021,4173.78,3947.65,4173.78,3907.23,98.00K,5.66%
05/10/2021,3950.03,3923.75,4128.97,3923.75,107.03K,0.71%
05/09/2021,3922.13,3907.53,3956.62,3906.80,78.60K,0.37%
05/08/2021,3907.53,3478.99,3907.53,3478.99,69.92K,12.32%
05/07/2021,3478.99,3489.60,3523.74,3384.23,70.41K,-0.26%
05/06/2021,3488.07,3524.00,3524.00,3461.01,76.65K,-1.03%
05/05/2021,3524.26,3267.94,3524.26,3267.94,122.89K,9.00%
05/04/2021,3233.36,3430.50,3453.21,3233.36,157.73K,-5.67%
05/03/2021,3427.54,2952.01,3427.54,2952.01,85.44K,16.11%
05/02/2021,2952.01,2944.09,2952.01,2912.03,49.94K,0.27%
05/01/2021,2944.09,2772.18,2944.09,2772.18,55.50K,6.21%
04/30/2021,2771.94,2755.60,2771.94,2734.70,59.04K,0.59%
04/29/2021,2755.61,2747.14,2755.61,2716.59,80.69K,0.30%
04/28/2021,2747.41,2664.91,2747.41,2659.98,118.76K,3.16%
04/27/2021,2663.30,2532.25,2663.30,2532.25,92.01K,5.14%
04/26/2021,2533.18,2319.16,2533.18,2319.16,150.16K,9.23%
04/25/2021,2319.16,2215.03,2319.16,2215.03,161.52K,4.84%
04/24/2021,2212.13,2367.72,2367.72,2212.13,194.30K,-6.57%
04/23/2021,2367.57,2399.62,2399.62,2293.80,377.15K,-1.43%
04/22/2021,2401.94,2357.29,2583.38,2357.29,270.78K,1.89%
04/21/2021,2357.29,2330.22,2426.31,2307.00,169.59K,1.16%
04/20/2021,2330.22,2161.03,2330.22,2139.04,198.46K,7.89%
04/19/2021,2159.74,2235.98,2262.50,2124.61,136.33K,-3.47%
04/18/2021,2237.31,2316.56,2316.56,2138.98,265.20K,-3.40%
04/17/2021,2315.96,2422.08,2422.08,2315.96,72.13K,-4.38%
04/16/2021,2422.01,2514.45,2514.45,2422.01,123.53K,-3.67%
04/15/2021,2514.30,2432.88,2514.30,2432.88,69.22K,3.35%
04/14/2021,2432.88,2299.47,2432.88,2299.47,115.17K,5.80%
04/13/2021,2299.40,2136.59,2299.40,2136.59,77.78K,7.62%
04/12/2021,2136.59,2144.55,2144.86,2136.59,60.88K,-0.33%
04/11/2021,2143.63,2126.89,2143.63,2126.89,23.81K,0.86%
04/10/2021,2125.43,2062.70,2169.46,2062.70,15.90K,3.04%
04/09/2021,2062.70,2078.47,2092.29,2062.70,9.95K,-0.76%
04/08/2021,2078.45,1961.75,2078.45,1961.75,18.42K,5.99%
04/07/2021,1961.01,2113.48,2113.48,1961.01,36.36K,-7.20%
04/06/2021,2113.19,2104.78,2113.19,2072.31,20.02K,0.37%
04/05/2021,2105.36,2074.79,2111.85,2015.68,21.79K,1.47%
04/04/2021,2074.79,2007.82,2074.79,2007.82,20.17K,3.33%
04/03/2021,2007.98,2133.62,2133.62,2007.98,29.54K,-5.90%
04/02/2021,2133.99,1967.42,2133.99,1967.42,23.86K,8.47%
04/01/2021,1967.33,1920.69,1967.33,1909.88,23.96K,2.56%
03/31/2021,1918.24,1841.40,1918.24,1815.51,28.97K,4.18%
03/30/2021,1841.29,1816.66,1841.29,1795.44,13.17K,1.38%
03/29/2021,1816.19,1687.90,1816.19,1687.90,17.01K,7.64%
03/28/2021,1687.27,1711.85,1712.81,1687.27,12.72K,-1.44%
03/27/2021,1711.84,1698.95,1711.84,1681.15,15.59K,0.76%
03/26/2021,1698.95,1587.86,1698.95,1587.86,16.47K,7.00%
03/25/2021,1587.86,1586.13,1619.02,1579.73,27.95K,0.12%
03/24/2021,1585.97,1668.78,1695.74,1558.99,27.34K,-4.96%
03/23/2021,1668.77,1682.86,1700.43,1665.81,21.87K,-0.85%
03/22/2021,1683.07,1783.10,1784.54,1683.07,21.78K,-5.62%
03/21/2021,1783.34,1805.54,1805.54,1767.43,16.05K,-1.21%
03/20/2021,1805.25,1807.99,1829.85,1805.25,13.76K,-0.15%
03/19/2021,1807.90,1777.75,1808.76,1777.75,15.52K,1.70%
03/18/2021,1777.75,1823.19,1828.74,1777.75,18.46K,-2.47%
03/17/2021,1822.78,1806.61,1822.78,1764.40,26.02K,0.95%
03/16/2021,1805.66,1793.78,1805.66,1725.16,33.53K,0.70%
03/15/2021,1793.09,1849.13,1849.13,1778.77,38.65K,-3.03%
03/14/2021,1849.13,1922.48,1922.48,1849.13,25.13K,-3.80%
03/13/2021,1922.10,1765.93,1922.10,1765.93,24.92K,8.84%
03/12/2021,1765.93,1823.82,1823.82,1755.10,33.17K,-3.16%
03/11/2021,1823.61,1794.88,1823.61,1788.97,41.29K,1.62%
03/10/2021,1794.51,1869.88,1869.88,1772.25,41.00K,-3.99%
03/09/2021,1869.16,1835.91,1869.16,1814.00,31.72K,1.99%
03/08/2021,1832.76,1727.86,1832.76,1696.88,48.02K,6.23%
03/07/2021,1725.31,1652.04,1725.31,1652.04,36.75K,4.61%
03/06/2021,1649.23,1528.55,1649.23,1528.55,39.78K,7.95%
03/05/2021,1527.82,1539.58,1539.58,1459.25,58.91K,-0.70%
03/04/2021,1538.58,1567.76,1572.83,1538.58,57.77K,-1.88%
03/03/2021,1568.08,1485.66,1609.57,1485.66,37.54K,5.49%
03/02/2021,1486.50,1570.46,1570.46,1458.62,46.43K,-5.31%
03/01/2021,1569.79,1418.28,1569.79,1418.28,46.55K,10.69%
02/28/2021,1418.23,1457.94,1457.94,1353.89,84.53K,-2.74%
02/27/2021,1458.20,1446.13,1486.49,1446.13,45.80K,0.90%
02/26/2021,1445.20,1482.26,1482.26,1444.13,75.85K,-2.30%
02/25/2021,1479.25,1622.89,1622.89,1479.25,47.22K,-8.89%
02/24/2021,1623.51,1577.40,1697.74,1565.86,64.14K,2.89%
02/23/2021,1577.89,1777.19,1777.19,1509.28,130.47K,-11.21%
02/22/2021,1777.10,1934.82,1934.82,1777.10,54.58K,-8.10%
02/21/2021,1933.78,1915.74,1956.64,1915.74,17.14K,0.94%
02/20/2021,1915.74,1957.69,2012.66,1915.74,21.21K,-2.02%
02/19/2021,1955.16,1938.61,1955.16,1915.69,9.34K,0.92%
02/18/2021,1937.25,1851.65,1937.25,1851.65,8.64K,4.86%
02/17/2021,1847.48,1781.83,1847.48,1765.68,9.76K,3.64%
